epoch,loss,ver_loss,mmd_loss,bandwidth
1,0.05306,0.039916,0.131445,0.177999
2,0.032742,0.019306,0.13436,0.177999
3,0.025301,0.011577,0.137247,0.177999
4,0.022494,0.008573,0.139212,0.177999
5,0.021049,0.007021,0.140272,0.177999
6,0.014239,0.008638,0.056006,1.415975
7,0.01189,0.006551,0.053386,1.415975
8,0.010948,0.005651,0.052966,1.415975
9,0.010297,0.005039,0.052584,1.415975
10,0.009819,0.004636,0.051827,1.415975
11,0.00956,0.004291,0.052688,1.402592
12,0.009237,0.004002,0.052349,1.402592
13,0.008971,0.003757,0.052144,1.402592
14,0.008702,0.003552,0.051499,1.402592
15,0.008561,0.003384,0.051775,1.402592
16,0.008391,0.003226,0.051655,1.390012
17,0.008282,0.003082,0.052004,1.390012
18,0.008094,0.002944,0.051503,1.390012
19,0.007922,0.002814,0.051083,1.390012
20,0.007842,0.002703,0.051382,1.390012
21,0.007774,0.002615,0.051591,1.384107
22,0.007662,0.002522,0.051393,1.384107
23,0.007571,0.002425,0.051462,1.384107
24,0.007477,0.002341,0.051353,1.384107
25,0.007373,0.002252,0.05121,1.384107
26,0.007321,0.002176,0.051446,1.375237
27,0.007263,0.002113,0.051493,1.375237
28,0.007163,0.002048,0.051151,1.375237
29,0.007084,0.001979,0.051052,1.375237
30,0.007009,0.001922,0.050863,1.375237
31,0.006944,0.001861,0.050827,1.37526
32,0.006892,0.00181,0.050821,1.37526
33,0.006844,0.001757,0.050875,1.37526
34,0.006751,0.001705,0.050461,1.37526
35,0.00672,0.001663,0.050573,1.37526
36,0.006743,0.001628,0.051143,1.367486
37,0.006688,0.001585,0.051034,1.367486
38,0.006586,0.001538,0.050482,1.367486
39,0.006564,0.001508,0.050567,1.367486
40,0.006554,0.001477,0.050761,1.367486
41,0.006524,0.001445,0.050793,1.365984
42,0.006469,0.001418,0.050507,1.365984
43,0.006456,0.001399,0.050574,1.365984
44,0.006431,0.001376,0.050542,1.365984
45,0.0064,0.001368,0.050321,1.365984
46,0.006417,0.00135,0.050665,1.360439
47,0.0064,0.001341,0.050584,1.360439
48,0.006407,0.001334,0.05073,1.360439
49,0.006376,0.001334,0.050414,1.360439
50,0.006355,0.001322,0.050327,1.360439
